taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC113,"2,127.30","1,846.90","1,986.80","1,115.20",36.1,37.2,31.3,29.7,24.5,22,77.8,66.8,38.8,46.1,25.2,29.3,32.1,22.4,TT,24.9,52.3,Amarillo (dk),United States,Marafax,Andean,Andean
YBC114,"2,811.70","2,122.10","1,987.60",696.3,50.4,49,44.5,32.1,58,62.5,56,56.7,38.3,38.9,25,24.8,25.8,21.9,TT,23.8,63,Canary,United States,Y1604 ,Andean,Andean
YBC115,"2,033.70","1,916.00","1,542.80",864.6,43.6,46,38.7,30.9,71.5,30,68.2,77.5,46.9,58,26.3,31.7,21.9,23.2,NN,27.6,44,Amarillo (dk),United States,Y1608 ,Andean,Andean
YBC116,"1,850.40",974.2,"2,279.50",797,37.8,35.3,36.1,29,103,96.5,51.6,49.8,58.1,38,20.3,25.4,26.3,21.2,GG,24.7,58,Mayocoba,United States,ADP0646,Andean,Andean
YBC117,"2,184.60","2,070.50","2,088.30",693.9,35,43.3,36.7,29.5,65,67,81.5,95.7,46.8,54.9,24.8,33.1,25.4,26.4,TT,26.7,66.8,Canary,Africa,Masindi yellow (kidney long),Andean,Andean
YBC118,"1,882.70","1,616.90","1,892.80",600.4,41,49.1,37.9,30.1,55,51,79.9,59.9,41.5,47,29.8,26.9,28.7,24.3,TT,29.3,35.8,Canary,kenya,ADP0524,Andean,Andean
YBC119,"2,493.50","1,563.90","2,026.30",586.4,38,40.3,36.4,30.2,51,53,69.2,67.5,43.8,59.9,34.9,28.7,29,29.9,TT,26.3,51.5,Canary,Uganda,MOORE88002,Andean,Andean
YBC120,"1,800.10","1,845.40","1,148.70",889.4,34.9,41.1,30.9,28.9,47,44,74.4,95.8,51.7,54,26.7,32.7,34.1,26.6,TT,28.5,40.8,Canary,Uganda,Masindi yellow (oval),Andean,Andean
YBC121,"2,497.80","2,273.30","1,991.20",858.5,42.9,41,34.7,29.8,106,104,75.3,71.1,36.2,59.2,28.5,30.9,23.4,26,TT,24.8,39,Amarillo (lt),Tanzania,ADP0761,Andean,Andean
YBC122,"2,066.30","1,314.10","1,231.00",305.5,39,40.1,33.4,29.4,105,102.5,66.4,60.2,47.4,46.9,30.3,28.8,26.9,28.1,GG,21.8,55.5,Mayocoba,Canada,ADP0781,Andean,Andean
YBC123,"2,114.30","2,042.20","1,782.60",481.6,45.5,40.9,36.7,30.3,99.5,94,64,61.1,41.5,49.6,26.3,26.8,31.3,28.8,GG,27.6,65.3,Mayocoba,Canada,ADP0779,Andean,Andean
YBC124,"2,269.80",982.9,"2,593.00",717.6,35.7,42.1,36.3,30.2,108.5,117.5,71.8,74.1,36.3,54.2,24.1,37.2,25.7,28.9,TT,20.2,82.5,Manteca,Angola,ADP0518,Andean,Andean
YBC125,"1,806.30","1,244.80","2,252.70","1,044.60",38.1,43.2,35.4,30.3,63.5,53.5,89.6,60.7,52.6,51.5,27.7,28.1,25.9,24.1,TT,35.2,65,Canary,Angola,ADP0523,Andean,Andean
YBC126,"2,047.90","1,105.20","1,919.80",661.6,41.2,44.8,42.4,30.6,104.5,95.5,75.3,74.2,37.9,52,25.1,25.5,27.4,20.8,GG,27,43.8,Mayocoba,United States,Y11405,Andean,Andean
YBC127,"2,210.00","1,246.40","2,020.00",737.8,38.8,40.7,36.8,28.9,119.5,97.5,48.7,45.3,38,40.1,21.5,24.7,26.9,21.9,GG,31.8,63,Mayocoba,United States,DBY-28-1 (will be released as Patron),Andean,Andean
YBC128,"2,180.90","1,587.80","2,524.30",550.1,39,40.9,31.7,29.1,76.5,70.5,89.5,58.1,46.9,44.5,26.1,25,21.1,22.5,TT,25.2,54,Green-yellow,Angola,ADP0520,Andean,Andean
YBC129,"2,667.90","1,974.90","2,772.90",910.5,48.2,51.3,50.3,32.5,112.5,114.5,77.2,59.4,35.8,47.8,27.1,28.5,18.5,25,TT,20.3,30.3,Manteca,Angola,ADP0512,Andean,Andean
YBC130,"2,052.30","2,115.70","2,324.20",589.7,43.6,51.5,43.6,30.4,45,32.5,77.8,67.5,58,48,29.3,31.7,26.1,23.4,TT,24,42.5,Green-yellow,Burundi,ADP0468,Andean,Andean
YBC131,"2,255.20","1,509.40","1,974.90",733.2,30,32.5,28,28.5,81,80.5,71.9,85.3,50.8,50.9,29.1,38,26,29.8,TT,20.6,58,Amarillo (lt),East Africa,ADP0462,Mesoamerica,Middle American
YBC132,"3,165.00","1,974.90","3,867.00","1,474.50",42.9,43.9,39.2,31.2,19,15.5,60.6,49.9,41.8,39.9,22.3,20.7,28.4,24.1,TT,26.4,33.3,Amarillo (dk),Tanzania,ADP0007,Admix,Admixture
YBC133,"2,045.50","1,897.20","2,247.50",574.7,41.8,47,38.3,29.5,14.5,12.5,74.5,74.1,36.4,56.8,32.1,33.2,26.4,30.5,TT,32.2,65.3,Brown,Tanzania,ADP0027,Andean,Andean
YBC134,"2,318.70","2,394.90","3,073.90",263.2,53.6,63.7,48,31.7,26.5,18.5,75.2,62.7,57,56.1,30.4,31.9,24.9,29.9,TT,20,77.3,Brown,Tanzania,ADP0037,Andean,Andean
YBC135,"2,602.90","1,945.70","1,944.20",845.8,40.4,42.4,34.4,29.6,66.5,77,72.5,56.1,44,46.2,25.1,25.8,25.1,25,TT,30.1,59.5,Amarillo (dk),Tanzania,ADP0111,Andean,Andean
YBC136,"1,466.80","1,311.00","2,050.50",507.7,35.8,37.1,29.1,28.7,35,30,112.5,65.3,64,49.9,30.9,28.9,24.5,25.1,TT,31.3,68.8,Canary,Angola,ADP0513,Andean,Andean
YBC137,"2,148.70","1,344.70","2,442.80",652.1,36.5,39.7,35.8,29.3,151,105.5,85.5,67.7,32.9,52.5,28.6,32.6,24.6,25.5,TT,20.4,95.3,Manteca,Angola,ADP0521,Andean,Andean
YBC138,"3,299.40","1,739.30","3,932.40","1,898.00",26.3,28.7,24.5,28.2,46.5,18.5,52.9,61.5,36.8,60.5,22.7,28.3,24.9,27.5,TT,39.7,85.3,Amarillo (dk),Angola,ADP0522,Jalisco&Durango,Middle American
YBC139,"2,018.80","1,582.80","1,624.10",120,49.1,58.5,42.6,29.7,27.5,20,63,68.6,46.2, NA ,31.3,32.3,23.3, NA ,TT,21.5,54.8,Amarillo (dk.) with brown stripes,Tanzania,ADP0004,Andean,Andean
YBC140,"2,824.20","2,150.80","2,317.70",490.8,43,42.4,33.7,29.9,35.5,23.5,64.2,56.5,60.3,44.1,28.8,26.7,27.6,26.4,TT,24.1,56.5,Amarillo (dk),Tanzania,ADP0014,Andean,Andean
YBC141,"2,121.40","1,861.80","1,722.00",196.6,40,52.5,39.8,31,23.5,12.5,71.4,64.3,38.3,52.8,33.7,30.8,28,28.4,TT,25.4,46,Beige and brown stripes,Tanzania,ADP0019,Andean,Andean
YBC142,"2,189.10","1,486.10","1,767.70",649,45.8,46.6,40.3,30.8,50.5,58,57.8,60.9,37.4,47.4,27.5,24.2,28,24.5,TT,32.1,35,Canary,Tanzania,ADP0021,Andean,Andean
YBC143,"2,305.50","1,678.90","2,470.40",366.4,47.8,50,46,30.7,37.5,35,61.9,61.2,36,43.7,27.6,28.5,22,24.4,TT,25.5,30.8,Canary,Tanzania,ADP0024,Andean,Andean
YBC144,"2,365.50","1,484.00","2,578.60",626.3,46.3,46.4,36.5,29.7,27.5,19,69.1,57,45.3,49.5,26.7,24,25.3,28.1,TT,29.7,40,Amarillo (dk),Tanzania,ADP0028,Andean,Andean
YBC145,"2,816.40","2,444.60","2,777.00","1,124.00",53.2,53.7,47.5,31.6,27.5,14.5,69.8,77.8,39.4,54.2,26.9,32.8,26.4,25.5,TT,24.6,57.3,Brown,Tanzania,ADP0047,Andean,Andean
YBC146,"2,300.90","1,680.00","2,002.30",525.7,32.1,36.6,29.1,28.6,53,37,71.9,59.5,61,51.3,27.8,24.8,29.4,21.2,TT,24.1,62.8,Canary,Tanzania,ADP0064,Andean,Andean
YBC147,"1,992.20","1,512.70","1,603.00",166.1,28.8,36.3,29.8,27.6,29,15.5,70.2,68.7,36.5, NA ,28.9,33.4,26.3, NA ,TT,28,36.8,Canary,Tanzania,ADP0066,Andean,Andean
YBC148,"1,876.60","1,316.20","1,566.00",298.7,32.3,33.8,28.4,28.2,30.5,25,67.8,80,40.7,47,23.1,29.7,24.8,27.7,TT,23.3,31.5,Canary,Tanzania,ADP0067,Andean,Andean
YBC149,"2,216.30","1,738.00","2,300.70",782.4,48,55,42.5,31.2,34.5,30,52.6,62.8,62.4,44,20.1,27,21.4,21.4,TT,24.7,45.3,Green-yellow,Tanzania,ADP0071,Andean,Andean
YBC150,"2,339.60","1,793.10","2,530.50",533.5,47,52.3,42.2,30.2,22.5,19.5,88.1,84.3,37.2,54.7,28.1,32.4,22.2,25.8,TT,24.6,89.3,Brown,Tanzania,ADP0072,Andean,Andean
YBC151,"2,550.80","2,026.10","1,876.20","1,157.60",50.6,53.4,46.6,31.2,29,28.5,74.4,69.4,50.9,53.6,31.1,26.9,26.6,25.5,TT,27.5,52.5,Brown,Tanzania,ADP0075,Andean,Andean
YBC152,"2,043.90","1,620.50","1,452.00",470.5,55.7,66.3,50,33.3,40.5,24.5,78.7,53.6,33,46.8,31.5,29.5,22,28.2,TT,26.8,43,Beige and brown stripes,Tanzania,ADP0090,Andean,Andean
YBC153,"1,696.20","1,262.20","2,182.80",392.5,27.6,32.1,28.7,28.4,50,51,75.6,78.3,29.7,52.2,28.1,31.3,19.4,27.1,TT,21,63,Canary,Tanzania,ADP0092,Andean,Andean
YBC154,"1,921.10","1,196.20","1,857.80",427,29,33.3,28.7,28.2,59,56.5,74,69.8,49.1,58.9,24.4,22.4,24.7,23.9,TT,24,63,Canary,Tanzania,ADP0093,Andean,Andean
YBC155,"2,031.30","1,603.70","1,563.00",441.2,34.9,39.8,33.4,29.2,37.5,36,67.3,62.9,29.4,46.7,21.4,27.7,18.7,23.4,TT,24.8,73,Canary,Tanzania,ADP0094,Andean,Andean
YBC156,"1,913.40","1,882.50","1,984.30",267.2,58.9,72.8,54.3,32.1,27.5,27.5,66.6,65.6,40.3,51.7,31.6,30.2,19.9,30.2,TT,24.7,54.5,Beige and brown stripes,Tanzania,ADP0095,Andean,Andean
YBC157,"1,800.30","1,502.30","2,545.20",561.4,38.7,42,35.1,29.5,27,26.5,57.5,71.2,44.9,47.2,23,26.6,23.2,24.7,TT,23.9,55,Canary,Tanzania,ADP0108,Andean,Andean
YBC159,"1,864.70","2,112.90","1,986.00",559.2,42.7,50.6,42.9,31.5,11,17.5,56.8,62.2,43.8,48.5,27.9,29.2,24.4,26.4,TT,23.6,65.3,Beige,Brazil,ADP0212,Andean,Andean
YBC160,"3,242.50","2,002.00","5,275.30","1,645.60",44.5,48.7,40.8,30.9,45.5,54.5,56.7,59.8,42.1,49.5,22.1,24.4,24.6,25.9,TT,45.1,125,Beige,Mexico,ADP0255,Jalisco&Durango,Middle American
YBC161,"2,188.20","1,787.20","1,506.10",672.2,59.4,59.8,52.1,32.6,41,46.5,62.4,55.9,57.6,42.3,26.5,25.6,29.2,25.7,TT,23.1,38,Beige,Hungary,ADP0303,Andean,Andean
YBC162,"2,741.30","1,802.30","2,189.50",754.1,24.1,25.8,24.1,28.3,41.5,42,63.2,68.1,37.4,58.2,28.8,32.2,27.9,29.4,TT,20.4,33.3,Canary,Puerto Rico,ADP0441,Mesoamerica,Middle American
YBC163,"1,788.10","1,229.30",933.7, NA ,39.3,39.4,30.4, NA ,40.5,48.5,86.7,62.7,33.3, NA ,31.1,28.9,26.3, NA ,TT,30.4,55.5,Canary,United States,ADP0703,Andean,Andean
YBC165,"1,836.40","1,346.00","2,101.80","1,383.00",26.3,27.3,26.5,28.2,12,26,83.2,70.5,57.3,66.1,27.9,27.4,27,28.4,TT,31.5,122.5,Beige,Kenya,ADP0465,Jalisco&Durango,Middle American
YBC166,"2,232.70","1,335.10","2,124.50",626,34,34.1,33.2,29.6,46.5,44,66.8,71.9,45,59.5,23.9,25.4,20.3,25.6,TT,33,65,Canary,Zambia,ADP0475,Andean,Andean
YBC167,"2,025.10","1,795.10","1,175.40", NA ,47.1,44,35.5, NA ,29,41.5,72.8,70.5,42.5, NA ,29.5,27.5,25.1, NA ,TT,24.7,32.5,Green-yellow,Kenya,ADP0478,Andean,Andean
YBC168,"1,818.10","1,681.70","1,248.80",427.8,44.7,48,32.5,30,18,26.5,57.3,55.2,33.6,55.7,26.1,26.4,21.6,29.3,TT,25.8,NA,Amarillo (dk),Burundi,ADP0479,Andean,Andean
YBC169,"2,294.90","2,093.80","2,856.60",569.8,42.7,49.9,39.5,30.4,36,38.5,78.5,61.3,47.6,49.3,29.9,27.4,18.4,26.2,TT,35.3,60.5,Canary,Kenya,ADP0483,Andean,Andean
YBC170,"1,821.30","1,294.10","2,051.80",653.3,36.4,39.2,33.7,29.5,73,68,68.3,57.1,32.9,46.9,23.3,22.1,22.7,21.5,TT,23.6,52.8,Green-yellow,Angola,ADP0508,Andean,Andean
YBC171,"1,596.00","1,377.40","2,469.70",693.2,32.8,36.3,30.9,28.4,87.5,85.5,85.8,105.8,38.8,55.2,24.5,31.9,24.4,24.3,TT,28.8,62,Canary,Angola,ADP0514,Andean,Andean
YBC172,"2,688.40","1,342.40","2,738.90",991.8,52.1,59.5,51.5,34.7,34.5,50.5,67.5,95.4,42.2,42.1,24.6,31.5,22.1,22.4,TT,29.1,79,Beige,Colombia,ADP0532,Andean,Andean
YBC173,"2,182.60","2,092.90","1,760.60",462.2,43,50.3,43,30.7,34.5,44.5,87.1,61.7,40.5,56.9,32.2,31.5,19,26.2,TT,23.1,37,Green-yellow,Burundi,ADP0534,Andean,Andean
YBC174,"1,940.00","1,696.70","1,756.70",199.7,41.6,51.7,42.5,31,18.5,23,92.6,58.1,44.9,45.2,29,26.6,24.4,27.5,TT,45.3,85.5,Amarillo dark and light mottled,Ecuador,ADP0566,Andean,Andean
YBC175,"1,792.40","1,306.00","2,716.10",594.7,36.7,42.8,36.5,29.3,41.5,34,65.7,63.6,45,42.4,24.5,23.5,24.5,22.2,TT,23.7,54.8,Amarillo (lt),Brazil,ADP0621,Andean,Andean
YBC176,"1,619.80","1,132.80","2,856.20",261.1,38.4,36.5,30.7,28.6,107.5,97,80.2,62.6,29.9,53.4,31.7,29.3,19.9,31.3,GG,27,43.3,Mayocoba,Canada,ADP0780,Andean,Andean
YBC177,"2,283.30","1,266.40","2,038.30",402.6,31.3,34.5,38.8,29.5,81.5,85,66.9,75.1,35.6,45.9,22.9,27.8,21.8,24.7,GG,31.2,NA,Mayocoba,Puerto Rico,ADP0791,Andean,Andean
YBC178,"2,538.00","1,313.80", NA , NA ,37.9,32.7, NA , NA ,104.5,97.5,67.2,54.6, NA , NA ,27.6,26.6, NA , NA ,GG,30.5,NA,Mayocoba,Puerto Rico,ADP0792,Andean,Andean
YBC179,"1,760.20","1,358.00","1,613.80",302.9,39.2,47.5,38.7,29.8,51,46.5,60,55.3,62.3,47.6,24.6,22,30.6,25.6,TT,35,31,Canary,Tanzania,ADP0020,Andean,Andean
YBC180,"2,023.50","2,444.10","2,574.30","1,020.80",52.3,54.4,48.7,31.3,32,28.5,85.9,58.5,49.7,60.1,30.6,25.6,24.9,25.2,TT,24,62.3,Brown,Tanzania,ADP0073,Andean,Andean
YBC181,"2,540.10","1,244.00","3,078.10","1,130.60",23,23.1,21.7,27.1,27,25.5,81.3,66.5,39.8,54.9,28.6,26.2,24.5,24.7,TT,27.4,67.5,Brown,Tanzania,ADP0091,Mesoamerica,Middle American
YBC182,"2,073.30","1,832.50","2,720.90",514.7,33.1,40.7,34.3,28.7,114,111.5,62.1,68.5,39.6,53.2,25,29.1,26.7,27.7,TT,25.9,34,Manteca,Tanzania,ADP0124,Andean,Andean
YBC183,"1,786.50","1,070.50","1,843.90",135.4,43.5,54.3,41.6,28.5,30.5,33,54.6,62.1,35.1,51.3,27.2,28.7,24.6,28.3,TT,30.3,44,Amarillo (dk.) with brown stripes,Kenya,ADP0188,Andean,Andean
YBC184,"2,193.20","1,573.60","2,447.70","1,043.80",48.3,52.2,45.2,31.4,53.5,47,74.7,66.3,39.7,52.6,27.7,26.9,23.6,29,TT,26.8,69.8,Amarillo (dk),Georgia,ADP0351,Andean,Andean
YBC185,"2,712.30","2,343.80","1,406.90","1,247.00",22.8,23,22.8,28,33,14,98.1,70.6,40.6,49.6,34.4,29.6,32.9,28.5,NA,NA,NA,NA,NA,NA,NA,NA
YBC186,"1,759.20","1,091.80","1,799.60","1,276.00",39.4,37.3,32.7,29.6,115.5,100,64.5,62.3,45.6,48.6,30.6,25.7,22.7,22.9,TT,NA,NA,Manteca,Europe,ADP0476,Andean,Andean
YBC187,"2,005.80","2,011.90","2,013.10",422.1,39.8,46.5,37.1,30.4,43.5,31.5,73.5,63.5,54.1,57.9,24.8,27.3,25.6,25.3,TT,NA,NA,Amarillo (dk.) with brown mottles,Angola,ADP0509,Andean,Andean
YBC190,"2,335.00","1,287.90","1,964.30",446.2,36.7,40.4,35.4,30.3,45.5,39.5,88.3,64.1,32.1,61,34.5,27.4,19.7,30,TT,NA,NA,Canary,Uganda,Akaryose,Andean,Andean
YBC191,"2,626.90","1,255.80","2,202.10",581.4,37.8,37.2,34.8,28.9,39,26,75,70,55.9,60.1,34.2,33.9,30,32.5,TT,NA,NA,Beige,Uganda,NCC093,Admix,Admixture
YBC192,"2,377.40","1,794.90","2,691.20","1,728.40",21,22.2,18.7,27.2,92,85.5,74.5,64.6,48.5,51.9,27.4,28.7,24.8,25.6,TT,17,NA,Amarillo (lt),Uganda,Roba-1,Mesoamerica,Middle American
YBC193,"2,052.50","1,518.30","2,640.00",460.7,41.4,40.4,36.6,29.9,85.5,90.5,60.3,56.9,42.4,46,24.9,22.6,21.9,25,GG,NA,NA,Mayocoba,United States,Y16501,Andean,Andean
YBC194,"2,177.50","2,229.60","1,787.80",831.6,36.4,39.8,36.4,28.5,73.5,74.5,75,68.8,42.3,50.3,27.7,27.3,25.9,22.5,GG,NA,NA,Mayocoba,United States,Y16503,Andean,Andean
YBC195,"1,990.80",817.7,"1,979.00",288,35.6,34,36.6,30.3,103.5,105,59.1,61.3,54.9,59.3,23,21.5,23.9,26.2,GG,NA,NA,Mayocoba,United States,Y16505,Andean,Andean
YBC196,"2,377.00","1,597.00","1,876.70",866.6,40.7,35.8,34.5,29.5,69,95,57.4,59.9,44.2,56.1,26,24.7,25.7,25.4,GG,NA,NA,Mayocoba,United States,Y16507,Andean,Andean
YBC197,"1,660.60","1,355.70",965.2,311.8,39.7,43.4,32.2,29.3,110,92,62.9,57.8,33.1,48.7,37,26.7,29.3,28,GG,NA,NA,Mayocoba,United States,CO_YL22,Andean,Andean
YBC198,"2,135.70","2,111.20","2,275.10",468.4,47.7,51.2,45.7,31,70,70.5,61.5,64.1,38.9,50.9,28.4,24.6,22.1,23.6,GG,NA,NA,Mayocoba,United States,UC Canario 707,Andean,Andean
YBC199,"1,795.50","1,414.10","1,434.00",421.2,41.2,45.2,40.9,29.8,103.5,101,55.1,69.8,34.4,51,28.4,35.9,30.9,31.1,TT,NA,NA,Mayocoba,United States,NZ-23-15,Andean,Andean
YBC200,"1,578.90",934.5,"2,622.40",796.2,34.1,36.4,33.2,30.6,66,78,74.8,70.1,52.3,64.1,37.5,35.3,25.3,35.5,TT,NA,NA,White,United States,CO_96212,Andean,Andean
YBC203,"1,788.80","1,527.30","1,910.30",885.1,37.8,40.7,35.1,29.6,25,41,65.7,62.2,48.6,52.2,27,27.6,25.1,29,TT,NA,NA,Amarillo (dk),East Africa,ADP0471,Andean,Andean
YBC204,"2,363.10","1,061.40","2,304.00",564.5,35,37.7,32,29,41.5,30,63.9,61.8,41.4,56.5,29.9,26.8,21.8,25.6,TT,NA,NA,Canary,Angola,ADP0511,Andean,Andean
YBC206,"2,288.40","1,480.40","2,928.40",897.6,38.3,41.2,35.3,30.3,107,97.5,62.3,76.4,42.1,49.4,27.5,32.9,29,27.7,GG,NA,NA,Mayocoba,Puerto Rico,PR-1146-138,Andean,Andean
YBC207,"1,850.90","1,118.10","3,568.60","1,069.60",37.9,40.6,38.8,29.8,102,101.5,56.7,47.4,31.4,41,26,19.6,18.5,21.1,GG,NA,NA,Mayocoba,United States,OSU-242,Andean,Andean
YBC208,"1,754.80","1,418.30","1,379.70",768.2,44.1,52.3,41.7,30.7,105.5,105,62.1,58.9,34.6,46.4,31.4,23.5,22.5,25,GG,NA,NA,Mayocoba,United States,NE-17-1,Andean,Andean
YBC209,"2,471.80","1,669.20",999.7,524.1,43.8,44.2,35.5,30.1,96,103.5,54.3,60.1,52.9,49.9,29.3,26,25,26.1,GG,NA,NA,Mayocoba,United States,NE-17-2,Andean,Andean
