taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC210,"2,327.10","2,077.80",757.3,700.7,44.4,41.3,34.5,30.1,89.5,97.5,57.1,61.9,42.9,43,28.5,25,25.9,22.9,GG,NA,NA,Mayocoba,United States,NE-17-3,Andean,Andean
YBC211,"2,243.00","1,444.40",652.6,620.7,43.7,46,35.1,30,90,93.5,56.1,62.1,30.1,45.4,28.7,25.9,20.2,24.4,GG,NA,NA,Mayocoba,United States,NE-17-4,Andean,Andean
YBC212,"2,591.30","1,565.30","1,026.20",681.1,49.4,48.8,40.2,30.8,72.5,83.5,49.5,66.3,30.1,46.3,26.9,23.9,25.1,25,GG,NA,NA,Mayocoba,United States,NE-17-5,Andean,Andean
YBC213,"2,589.10","1,094.00","2,035.90",478.8,48.2,45.1,39.7,30,100.5,97.5,45.1,63.8,39.3,47,25.7,25.5,23.3,25.1,GG,NA,NA,Mayocoba,United States,NE-17-6,Andean,Andean
YBC214,"1,238.10","1,223.10",832.8, NA ,35.8,40.5,35.6, NA ,93,89,64,51.9,28.9, NA ,30.8,24.2,25.1, NA ,GG,NA,NA,Mayocoba,United States,NE-17-7,Andean,Andean
YBC215,"1,753.20","1,801.50","2,621.00",323.8,35.2,39.2,36.4,29.1,105,110,52.5,59.9,30.6,38.8,27.3,24.7,24,23,GG,NA,NA,Mayocoba,United States,LPID-35,Andean,Andean
YBC216,"1,656.80","1,162.40","2,616.40",354.2,36.8,37.8,35.3,29.9,106.5,104,57.1,58.7,29.1,47.7,26.7,24.5,20.3,24.4,GG,NA,NA,Mayocoba,United States,LPID-36,Andean,Andean
YBC217,"1,586.40","1,166.20","1,484.60",381.8,49.4,53.7,52.2,32.4,73,69.5,64.6,53.1,54.1,49.3,24,29.1,24.4,27.8,TT,NA,NA,Mayocoba,Colombia,MAN    4,Andean,Andean
YBC218, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC219, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC220, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC221,"3,118.80","1,542.20","1,255.30",587.3,28.9,27.4,24.3,27.7,80.5,74,69,80,43.9,55.1,29.3,30.9,28.9,31.1,GG,NA,NA,Mayocoba,Colombia,CAN   15,Admix,Admixture
YBC222,"1,698.20","1,450.60","1,493.10",827,28.7,30.7,27.9,28.7,111.5,103,74.6,70.8,43.6,50.4,39.1,34.5,27,27,GG,NA,NA,Mayocoba,Colombia,CAN   24,Mesoamerica,Middle American
YBC223,"2,595.80","1,009.10","2,279.90",763.8,35.5,37,27.2,28.1,78.5,69.5,59.2,66.7,51.5,42.7,29.7,32.9,30.3,30.6,GG,NA,NA,Mayocoba,Colombia,CAN   29,Admix,Admixture
YBC224,"2,035.90",822.6,"1,474.00",461,38,39.5,26.9,29.2,111,111.5,66,62.6,49.6,36.3,26.3,26.2,26.4,22.3,GG,NA,NA,Mayocoba,Colombia,CAN   32,Andean,Andean
YBC225,"1,396.80","1,016.80","1,570.60",369,41.1,45.6,35.9,29.7,82.5,75,67.3,59.8,45.6,43.7,28,26.3,24.1,23.9,TT,NA,NA,Canary,Colombia,CAN   33,Andean,Andean
YBC226,"2,056.40","1,384.00","1,759.10",520.6,38.1,42.9,37.2,30.6,68.5,63,50.9,59.6,31.6,48.2,28.8,27.9,19.5,28.6,TT,NA,NA,Canary,Colombia,CAN   34,Andean,Andean
YBC227,"2,094.40","1,289.30","1,697.60",446.7,34.8,34.9,32.3,28.3,75,83,69.9,70.4,40,52.7,32,30,28,29.1,GG,NA,NA,Mayocoba,Colombia,CAN   35,Andean,Andean
YBC228,"2,062.40","1,838.00", NA , NA ,47.6,42, NA , NA ,87.5,100.5,69.4,72.9, NA , NA ,31.6,31.3, NA , NA ,GG,NA,NA,Mayocoba,Colombia,CAN   37,Andean,Andean
YBC229,"1,829.40",870.3,904, NA ,29.9,31.1,28.9, NA ,24.5,30.5,74.6,68.1,62.1, NA ,33.7,27.6,27.2, NA ,TT,NA,NA,Canary,Colombia,CAN   39,Admix,Admixture
YBC230,"1,689.70","1,193.20","2,018.10",412,36.8,35.8,36.7,29.9,104.5,103,80.3,67.1,52.4,52.2,38.7,32.6,25.6,32.4,GG,NA,NA,Mayocoba,Colombia,CAN   40,Andean,Andean
YBC231,"2,310.60","1,325.00","1,457.10",376.8,25.3,28.5,21.6,26.8,110,97.5,68.1,91.2,47.9,41.6,33.3,32.6,24.7,28.9,GG,15,23,Mayocoba,Colombia,CAN   44,Andean,Andean
YBC232,"1,923.70","1,343.30","2,769.80",509,40.7,44.8,41.3,30.6,83,75.5,64.1,60.1,41.2,45.8,25.4,26.4,21.9,26.1,TT,NA,NA,Canary,Colombia,CAN   45,Andean,Andean
YBC233,"2,152.40","1,412.60", NA , NA ,44.2,44.4, NA , NA ,104,107.5,64.8,63.3, NA , NA ,28.4,27.5, NA , NA ,GG,NA,NA,Mayocoba,Colombia,CAN   47,Andean,Andean
YBC234,"2,067.60","1,425.70","1,552.20",407.1,36.8,41.2,34.7,30.4,106.5,106,67.8,60,41.5,54.6,32.4,30.9,30,30.2,GG,NA,NA,Mayocoba,Colombia,CAN   48,Andean,Andean
YBC235,"2,289.80","1,955.50","1,505.10",430,36.6,41.3,35.3,29.3,110,105.5,55.5,62.2, NA ,47,31,28.7, NA ,28.5,GG,NA,NA,Mayocoba,Colombia,CAN   49,Andean,Andean
YBC236,"1,942.80","1,539.60","1,835.80",485.7,32.4,27.9,25.1,27.7,81.5,74.5,95.5,82.7,63.7,55.4,41.4,39.3,36.7,43.2,GG,NA,NA,Mayocoba,Colombia,CAN   54,Admix,Admixture
YBC237,"2,567.20",900.9,"1,869.10",478.1,35.4,35.3,28.4,28.3,63.5,59.5,60.8,78.7,62.3,60.2,23.7,31.5,23.9,29.2,GG,NA,NA,Mayocoba,Colombia,CAN   55,Admix,Admixture
YBC238,"1,684.90",810,"1,051.70",389.1,30,34.6,26.4,27.9,91,69,81.8,69.4,54.4,52.8,35.8,35.3,34.6,29.8,GG,NA,NA,Mayocoba,Colombia,CAN   69,Andean,Andean
YBC239,"1,610.20",598.6,"1,145.60", NA ,40.5,46.3,37.7, NA ,105,105.5,68.8,62.2, NA , NA ,37.4,41, NA , NA ,GG,NA,NA,Mayocoba,Colombia,CAN   79,Andean,Andean
YBC240,"2,085.00",936.8,"1,941.90",197.3,43.1,44.5,39,28.8,64,91.5,59.2,65.1,32.5,53.1,28.9,29.4,26.1,36.4,GG,NA,NA,Mayocoba,Colombia,CAN   83,Andean,Andean
YBC241,"2,256.70","1,449.10","1,866.20",184.9,43.7,48.1,39.3,29.1,71,82,82,56.8,46,42.6,30.6,26.7,24.5,26.2,NN,NA,NA,Mayocoba,Colombia,CAN   84,Andean,Andean
YBC242,"1,811.50","1,622.80","2,253.70",178.6,39.8,50,38.7,29.5,87,94.5,68.1,56.6,40.9,42.3,26.4,30.6,22.3,29.2,GG,NA,NA,Mayocoba,Colombia,CAN   85,Andean,Andean
YBC243,"2,553.70","1,714.80","1,363.20",327.5,42.3,43.5,37.8,29.6,60,55,94.9,57.6,34.9,49.8,33,33.2,26.3,29.3,TT,NA,NA,Canary,Colombia,CAN   87,Andean,Andean
YBC244,"1,345.30","1,185.20",779.8,84.8,39.5,45.8,37.2,33.1,44.5,35,62.4,78.3,42.3, NA ,33.4,36.7,29.6, NA ,TT,NA,NA,Canary,Colombia,CAN   91,Andean,Andean
YBC245,"1,964.60",693.3,"1,053.50",288.8,29.9,30.8,29.7,28.1,67.5,57.5,80.2,85.5,58,59.1,33.9,36.5,32,36.6,GG,NA,NA,Mayocoba,Colombia,CAN   96,Andean,Andean
YBC246,"1,825.40",854.3,"1,451.10",60.3,38.6,39.3,35.4,28.7,63,80.5,64.6,62.3,45.3,52.2,31.1,31.5,23.9,32.2,GG,NA,NA,Mayocoba,Colombia,CAN  101,Andean,Andean
YBC247,"2,351.60","1,641.30","1,508.30",165.1,37.8,46.6,35.4,28.9,45.5,42,90.5,81.1,52.1,47.6,31.4,33.9,26.2,29.4,GG,NA,NA,Mayocoba,Colombia,CAN  112,Andean,Andean
YBC248,"1,591.70","1,291.90","2,133.60",452.5,44,47,44.2,30.5,84.5,64,72.9,66.7,58.6,53.5,34,32,30.5,29.3,GG,NA,NA,Mayocoba,Colombia,CAN  120,Andean,Andean
YBC249,"1,847.00","1,566.80","1,491.90",299.1,39.7,38.2,35.8,29.7,66.5,84.5,64.2,61.9,44,55.2,31.3,30.3,27.8,32,GG,NA,NA,Mayocoba,Colombia,CAN  125,Andean,Andean
YBC250,"2,195.50","2,305.10","1,979.80",212.8,46.8,53.3,43.7,30,24.5,26,50.7,47.4,35.8,46.4,27.2,26.2,22.8,27.6,TT,NA,NA,Amarillo (dk),Uganda,NGWAKU NGWAKU,Andean,Andean
YBC251, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC252, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC253,"1,719.60","1,603.80", NA , NA ,38.2,36.5, NA , NA ,49,29.5,70.3,63.1, NA , NA ,30.1,26.2, NA , NA ,TT,NA,NA,Amarillo (dk),Uganda,ZKA93-10M/95,Admix,Admixture
YBC254,"1,953.40","1,870.10", NA , NA ,43.6,40.7, NA , NA ,26.5,31.5,70.7,66.6, NA , NA ,34.7,27.6, NA , NA ,TT,NA,NA,Canary,Uganda,NAROBEAN 3,Andean,Andean
YBC255, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC256,"2,372.70","1,427.70","1,404.00",476.1,39.4,44.8,36.2,30.3,20,27.5,71.1,62,53.7,46.1,27.1,27.5,23.2,26.3,TT,NA,NA,Amarillo (dk),Uganda,F10 block sel new belfa-63,Andean,Andean
YBC257,"1,977.50","1,584.40","1,493.50",724.1,42.6,43.7,42,30.9,48.5,50,58,56.7,39.8,48.8,27,26.2,21.6,26.7,TT,NA,NA,Canary,Uganda,UGK7,Andean,Andean
YBC258,"1,964.20","1,739.50", NA , NA ,36.7,37.6, NA , NA ,47.5,64.5,77.2,61.4, NA , NA ,27.8,27.2, NA , NA ,TT,NA,NA,Canary,Uganda,UGK14,Andean,Andean
YBC259,"1,684.30","1,112.30", NA , NA ,48,46, NA , NA ,53.5,54.5,65.1,61.3, NA , NA ,26.2,21.9, NA , NA ,TT,NA,NA,Canary,Uganda,UGK21,Andean,Andean
YBC260,"1,915.90","1,139.00", NA , NA ,41,36.8, NA , NA ,86.5,47,76.7,65.2, NA , NA ,27.7,29.3, NA , NA ,TT,NA,NA,Canary,Uganda,UGK29,Andean,Andean
YBC262,"2,676.80","1,534.40", NA , NA ,42.8,41.6, NA , NA ,47,38.5,57.8,56.7, NA , NA ,31.7,22.5, NA , NA ,TT,NA,NA,Canary,Uganda,UGK34,Andean,Andean
YBC263,"2,468.50","2,063.00","2,206.50",837.9,45.3,44.8,41.6,30.9,27.5,49.5,70.1,67.3,47.1,50.7,25.5,28.7,23.9,23.6,TT,NA,NA,Amarillo (dk),Uganda,UGK48,Andean,Andean
YBC264,"1,836.60","1,486.80","1,839.30",522.4,43.6,44.9,39.9,30.9,66.5,74,55.4,55.1,45.2,46.2,25.7,24,23.5,24,NA,NA,NA,NA,NA,NA,NA,NA
YBC265,"1,605.30","1,357.50","1,413.10",272.8,40.1,40.7,33.4,29.2,46.5,50,66,56.1,59.3,52.7,26.1,24.5,20.6,24.3,TT,NA,NA,Canary,Uganda,UGK 138,Andean,Andean
YBC266,"1,816.20","1,423.40", NA , NA ,41.8,42.3, NA , NA ,46,37,72.4,69.8, NA , NA ,30.5,30.9, NA , NA ,TT,NA,NA,Mayocoba,Uganda,ACC7,Andean,Andean
YBC267,"2,845.90","1,487.10","3,003.20","1,403.30",30.2,31.9,30.4,28.7,22,16.5,64.9,66.4,57.2,57.2,30.3,29.3,26,28.2,NA,NA,NA,NA,NA,NA,NA,NA
YBC268,"2,688.30","1,446.20","2,172.70",917.3,33.7,42.9,33.7,28.6,20,25.5,77.8,57.4,50,57.2,29.7,27.4,25.3,27.5,TT,NA,NA,Amarillo (dk),Uganda,KG 103-19,Andean,Andean
YBC269, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC270, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC271, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC272, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC273,"1,648.40", NA ,"2,100.00",597.1,32.6, NA ,31.3,30,21.5,41,58.9, NA ,61.6,55.2,28.4, NA ,26.1,26.2,TT,NA,NA,Amarillo (dk),Uganda,MNC 524,Jalisco&Durango,Middle American
YBC274,"1,199.70",884.2,"2,352.50",683.5,31.3,30.9,29.2,28.3,39.5,45,71, NA ,60.9,62.7,29.8, NA ,28.2,31.1,TT,NA,NA,Amarillo (dk),Uganda,NUC 391,Admix,Admixture
YBC275,"1,914.80","1,369.30", NA , NA ,38.6,33.4, NA , NA ,18.5,24,73.5, NA , NA , NA ,33.8, NA , NA , NA ,TT,NA,NA,Amarillo (dk),Uganda,NUC 392,Admix,Admixture
YBC276, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC277,"1,615.40", NA ,"1,026.30",51.6,46.2, NA ,37.4,29.5,76.5,72.5,77, NA ,47.1, NA ,27.9, NA ,24.9, NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC278,"2,455.40","2,711.90","3,087.60","1,570.70",27.7,26.6,27.1,28.8,24,22,92.2, NA ,46.8,57.8,35, NA ,25,29.3,TT,NA,NA,Amarillo (dk),Uganda,SMC28,Mesoamerica,Middle American
YBC279,"2,128.60","2,643.80","3,602.90","1,446.80",26.2,27.8,24.8,27.8,36.5,36,117.7, NA ,58.1,59.5,35.2, NA ,28.2,29.2,TT,NA,NA,Amarillo (dk),Uganda,SMC29,Mesoamerica,Middle American
YBC280,"2,638.40","3,011.60","2,425.70","1,451.00",29.6,31,28.2,29.1,23.5,23,76.7, NA ,57.9,67,35.4, NA ,33.9,34.5,TT,NA,NA,Amarillo (dk),Uganda,SMC160,Mesoamerica,Middle American
YBC281,"2,526.00","2,938.80","1,826.60",699.7,28.7,28.5,28,29.5,58,48,56.7, NA ,27.7,49.1,29.2, NA ,28.8,28.2,TT,NA,NA,Amarillo (dk),Uganda,SSIN 533,Mesoamerica,Middle American
YBC282,"2,975.40","2,204.50", NA , NA ,29.4,23.1, NA , NA ,24,49,62.4, NA , NA , NA ,31.3, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F0824,Mesoamerica,Middle American
YBC283,"2,413.20","1,991.20", NA , NA ,27.4,21.5, NA , NA ,87,73,77.6, NA , NA , NA ,33.4, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F0829,Mesoamerica,Middle American
YBC284,"2,202.50","1,670.50", NA , NA ,27.4,21.4, NA , NA ,66.5,45.5,79.1, NA , NA , NA ,31.9, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F0834,Mesoamerica,Middle American
YBC285,"2,357.50","2,086.80", NA , NA ,30.9,26.6, NA , NA ,20.5,28.5,69.2, NA , NA , NA ,29.4, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,T1054,Mesoamerica,Middle American
YBC286,"2,418.60","2,389.80", NA , NA ,29.9,24.9, NA , NA ,22,29,68.2, NA , NA , NA ,28.4, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1353,Mesoamerica,Middle American
YBC287,"2,052.70","2,314.50", NA , NA ,27.4,25.2, NA , NA ,22.5,17.5,72.8, NA , NA , NA ,28.6, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1377,Mesoamerica,Middle American
YBC288,"2,434.70","2,527.60", NA , NA ,28.3,24.1, NA , NA ,26,30.5,72.5, NA , NA , NA ,31.7, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1397,Mesoamerica,Middle American
YBC289,"2,070.80","2,620.30", NA , NA ,29.3,23.5, NA , NA ,14.5,32.5,67.9, NA , NA , NA ,29, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1453,Mesoamerica,Middle American
YBC290,"2,602.90", NA , NA , NA ,29.3, NA , NA , NA ,20.5,29,67.2, NA , NA , NA ,25.1, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1458,Mesoamerica,Middle American
YBC291,"2,230.20","2,454.60", NA , NA ,27.2,23.8, NA , NA ,26.5,26,65.1, NA , NA , NA ,31.3, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1659,Mesoamerica,Middle American
YBC292,"2,384.60","2,456.40", NA , NA ,28.9,23.7, NA , NA ,22.5,23,66, NA , NA , NA ,33.6, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1663,Mesoamerica,Middle American
YBC293,"2,474.40","2,107.50", NA , NA ,29.7,25.9, NA , NA ,20.5,24.5,86.8, NA , NA , NA ,32.6, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1752,Mesoamerica,Middle American
YBC294,"2,376.10","1,997.10", NA , NA ,27.2,21.5, NA , NA ,24,22,59, NA , NA , NA ,28.1, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F1765,Mesoamerica,Middle American
YBC295,"2,598.00","2,170.00", NA , NA ,28.8,23.3, NA , NA ,30.5,25,66.8, NA , NA , NA ,31.5, NA , NA , NA ,TT,NA,NA,Amarillo (dk),Haiti,F7157,Mesoamerica,Middle American
YBC296,"1,633.40","2,359.90", NA , NA ,32,28.5, NA , NA ,24.5,22,71.8, NA , NA , NA ,34.5, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F7462,Mesoamerica,Middle American
YBC297,"2,052.40","2,334.70", NA , NA ,27,23, NA , NA ,53.5,82.5,73.8, NA , NA , NA ,35.5, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,F7500,Mesoamerica,Middle American
YBC299,"2,813.20","2,564.90", NA , NA ,27.7,22.7, NA , NA ,27,18.5,70.4, NA , NA , NA ,33, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M0173,Mesoamerica,Middle American
YBC300,"2,297.80","2,415.70", NA , NA ,29.8,29.1, NA , NA ,16.5,19,72.6, NA , NA , NA ,35, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M0180,Mesoamerica,Middle American
YBC301,"3,201.00","2,548.10", NA , NA ,29.1,24.1, NA , NA ,93.5,66,69.5, NA , NA , NA ,29, NA , NA , NA ,TT,19,NA,Amarillo (lt),Haiti,M0181,Mesoamerica,Middle American
YBC302,"1,970.00","1,878.80", NA , NA ,29.4,27, NA , NA ,20,25,68.8, NA , NA , NA ,29.3, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M0186,Mesoamerica,Middle American
YBC303,"1,839.30","1,787.00", NA , NA ,28.4,24.7, NA , NA ,18.5,18.5,77.5, NA , NA , NA ,33.3, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M0241,Mesoamerica,Middle American
YBC304,"2,443.60","1,757.70", NA , NA ,34.7,29.4, NA , NA ,37.5,13.5,52.6, NA , NA , NA ,29.5, NA , NA , NA ,TT,NA,NA,Canary,Haiti,M6953,Mesoamerica,Middle American
YBC305,"3,187.90","3,065.00", NA , NA ,28.9,24.4, NA , NA ,15,14.5,66.4, NA , NA , NA ,28.4, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M6957,Mesoamerica,Middle American
YBC306,"1,999.80","1,845.80", NA , NA ,27.3,24.3, NA , NA ,44.5,51.5,57.7, NA , NA , NA ,30.6, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M6960,Mesoamerica,Middle American
YBC307,"1,170.80","2,076.90", NA , NA ,28.3,25, NA , NA ,37.5,20.5,69.2, NA , NA , NA ,29.9, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M6964,Mesoamerica,Middle American
YBC308,"2,236.20","1,549.10", NA , NA ,28.8,24.3, NA , NA ,25.5,21,56.2, NA , NA , NA ,30.9, NA , NA , NA ,TT,NA,NA,Amarillo (lt),Haiti,M6967,Mesoamerica,Middle American